country,country_code,NY.GDP.PCAP.CD,NY.GDP.PCAP.CD_name,SP.POP.TOTL,SP.POP.TOTL_name,SP.DYN.LE00.IN,SP.DYN.LE00.IN_name,IT.NET.USER.ZS,IT.NET.USER.ZS_name,FP.CPI.TOTL.ZG,FP.CPI.TOTL.ZG_name,SL.UEM.TOTL.ZS,SL.UEM.TOTL.ZS_name
United States,USA,82304.6204272866,GDP per capita (current US$),336806231,"Population, total",78.3853658536585,Life expectancy at birth (years),93.1,Individuals using the Internet (% of population),4.11633838374488,"Inflation, consumer prices (annual %)",3.638,"Unemployment, total (% of total labor force)"
China,CHN,12951.1782397043,GDP per capita (current US$),1410710000,"Population, total",77.953,Life expectancy at birth (years),77.5,Individuals using the Internet (% of population),0.234836828893051,"Inflation, consumer prices (annual %)",4.67,"Unemployment, total (% of total labor force)"
Japan,JPN,33836.1756271617,GDP per capita (current US$),124516650,"Population, total",84.0412195121951,Life expectancy at birth (years),87,Individuals using the Internet (% of population),3.26813365933163,"Inflation, consumer prices (annual %)",2.6,"Unemployment, total (% of total labor force)"
Germany,DEU,53940.4073447462,GDP per capita (current US$),83901923,"Population, total",80.5414634146342,Life expectancy at birth (years),92.5,Individuals using the Internet (% of population),5.94643667725823,"Inflation, consumer prices (annual %)",3.068,"Unemployment, total (% of total labor force)"
United Kingdom,GBR,49200.8101526146,GDP per capita (current US$),68492000,"Population, total",81.2380975609756,Life expectancy at birth (years),96.3,Individuals using the Internet (% of population),6.79396706793963,"Inflation, consumer prices (annual %)",3.984,"Unemployment, total (% of total labor force)"
France,FRA,44690.9345395117,GDP per capita (current US$),68287487,"Population, total",82.9292682926829,Life expectancy at birth (years),86.8,Individuals using the Internet (% of population),4.87835726508441,"Inflation, consumer prices (annual %)",7.335,"Unemployment, total (% of total labor force)"
India,IND,2530.12031278204,GDP per capita (current US$),1438069596,"Population, total",72.003,Life expectancy at birth (years),55.9,Individuals using the Internet (% of population),5.64914318907925,"Inflation, consumer prices (annual %)",4.172,"Unemployment, total (% of total labor force)"
Brazil,BRA,10377.5892792557,GDP per capita (current US$),211140729,"Population, total",75.848,Life expectancy at birth (years),84.2,Individuals using the Internet (% of population),4.59356282283204,"Inflation, consumer prices (annual %)",7.947,"Unemployment, total (% of total labor force)"
Canada,CAN,54220.3285039875,GDP per capita (current US$),40083484,"Population, total",81.6465853658537,Life expectancy at birth (years),94,Individuals using the Internet (% of population),3.87900159788426,"Inflation, consumer prices (annual %)",5.415,"Unemployment, total (% of total labor force)"
Italy,ITA,39065.4244365633,GDP per capita (current US$),58993475,"Population, total",83.7,Life expectancy at birth (years),87,Individuals using the Internet (% of population),5.62219442195901,"Inflation, consumer prices (annual %)",7.627,"Unemployment, total (% of total labor force)"
